A,B,C,D,E,F,G,H,I,J
2024-09-05 14:49:56.767689,72.28483490369034,46.293972533823904,69.3814647336691,17.02525681687136,41.51321063667884,19.20159760143232,77.39741289000793,34.747284833811456,56.71530620637226
2024-09-05 14:49:57.767689,65.18304489393222,31.980709799400707,84.4609879600397,96.53962911050695,33.91844947771167,47.87163124458071,3.9327512857347258,2.6220013821871,35.09527932990583
2024-09-05 14:49:58.767689,6.214135998987036,86.15621920808013,40.326977277203866,45.01639931648048,61.99114432951281,63.67011681935983,23.386210835878916,47.34432689533469,69.78878658672207
2024-09-05 14:49:59.767689,26.98271114526448,58.1755490765263,1.7186004475873817,48.93070232945672,46.911816510452354,6.7399364935200605,24.06948502083537,5.298180779229611,3.4150433983160977
2024-09-05 14:50:00.767689,60.622425818845436,99.62664893411645,29.383810367816565,85.71373950391347,32.59034050291638,13.685641837337691,15.079903506196823,61.58750823522582,40.616481108582114
2024-09-05 14:50:01.767689,28.074286389855097,28.764779901247685,99.93625072434472,9.43774305644155,55.172859666075965,75.9700691091338,70.8302671244401,46.2393384206901,66.75619859367686
2024-09-05 14:50:02.767689,86.64553382467591,52.36872233594413,56.835021519913575,8.770135209488084,15.631705615292601,38.61308881473905,25.325853576072667,71.94867330145046,80.28553775337501
2024-09-05 14:50:03.767689,78.07838727129885,12.45523560367241,10.180177103047416,70.48865387565522,65.623836218334,50.761655950382846,11.658292141556636,60.08312723177327,47.65300726662218
2024-09-05 14:50:04.767689,65.46749889404514,63.79453833873069,42.19744693336004,85.72004853521206,22.970214490383977,30.63299196038043,65.7553780543148,38.05310621969913,79.89785226073394
2024-09-05 14:50:05.767689,19.642432430313573,32.33685631984036,2.0912125489791267,56.9122899771806,97.18409361033731,18.982194293088238,29.32901737203818,54.812085622304295,12.529912213731343
2024-09-05 14:50:06.767689,2.764037260319452,26.08192761115936,31.216387546735668,39.52086806454639,69.81613397377042,2.1450223451366157,66.48977286812232,18.309378879974357,61.61128961125692
2024-09-05 14:50:07.767689,24.947189249093693,6.79789412930456,87.25148183240393,15.363003601904058,91.35660264591868,63.570277362647644,22.043257076476596,88.3341494798147,95.88201205459731
2024-09-05 14:50:08.767689,17.23208780339107,55.448343780766386,16.29621118583604,81.19174378163474,41.394046776834635,22.511826598892824,59.190994353873386,27.852378144324796,4.799275019072535
2024-09-05 14:50:09.767689,75.26405358060632,30.107785514843886,93.42580114980437,89.2399506556523,91.79224715434977,27.913422619804773,48.08378280260249,53.17055544058926,48.4117927346267
2024-09-05 14:50:10.767689,67.73825907768978,13.369568406335475,94.62955529833366,82.2935900184145,26.239560708376874,6.392722626198422,13.491698215785796,65.45749806523314,5.887978386195492
2024-09-05 14:50:11.767689,96.8944635813479,1.5289687235628069,8.237902008235121,81.11815365411125,17.08376760093713,39.77266652384994,1.0560492369953156,28.05339885692357,38.64218335054805
2024-09-05 14:50:12.767689,67.48829842234352,83.31372169635223,34.071316490550906,91.78254446587411,86.97165030040968,25.29364172198837,33.67200579401298,56.19952367335236,63.3414746636153
2024-09-05 14:50:13.767689,85.73754527111608,64.04169830631974,99.64250902695865,56.003328543129605,27.1140882876179,56.620678541757755,4.948979176882151,54.406030755783505,82.93620874321552
2024-09-05 14:50:14.767689,44.905412529036504,92.99980947017787,99.57067931474158,20.558062231970055,20.298648571180422,3.5160620642249896,47.5361790274268,69.44765024236949,68.64899575570739
2024-09-05 14:50:15.767689,71.34354093419282,22.772812884992323,94.52683771441248,91.44105798357546,98.91607237986454,95.24146610282001,20.955164811157488,0.9656649924398297,46.22107966477782
